timestamp,rmssd,coverage,low_frequency,high_frequency
2025-08-09T04:30:00,16.996,0.996,40.157,43.786
2025-08-09T04:35:00,17.237,1.002,14.836,20.806
2025-08-09T04:40:00,16.665,1.002,20.824,20.941
2025-08-09T04:45:00,16.974,1.0,18.925,27.146
2025-08-09T04:50:00,14.998,1.003,15.701,21.559
2025-08-09T04:55:00,16.018,1.001,20.573,20.965
2025-08-09T05:00:00,15.749,1.001,11.641,21.73
2025-08-09T05:05:00,13.37,1.002,10.813,17.679
2025-08-09T05:10:00,16.778,1.001,9.105,17.75
2025-08-09T05:15:00,15.661,1.002,11.668,24.001
2025-08-09T05:20:00,15.938,1.0,11.169,25.365
2025-08-09T05:25:00,15.88,1.002,22.346,22.531
2025-08-09T05:30:00,15.822,1.002,12.421,24.011
2025-08-09T05:35:00,16.201,1.0,11.541,21.894
2025-08-09T05:40:00,15.892,1.003,12.051,26.628
2025-08-09T05:45:00,15.854,1.001,9.397,16.882
2025-08-09T05:50:00,15.485,1.001,15.022,22.597
2025-08-09T05:55:00,16.981,1.002,16.261,30.326
2025-08-09T06:00:00,15.685,1.001,10.613,23.021
2025-08-09T06:05:00,15.179,1.002,10.811,18.576
2025-08-09T06:10:00,14.94,1.001,9.675,16.789
2025-08-09T06:15:00,15.582,1.001,10.726,26.708
2025-08-09T06:20:00,15.921,1.002,13.995,16.764
2025-08-09T06:25:00,15.585,1.001,10.44,18.258
