timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2025-07-27T06:25:00Z,40.803,0.0,Fitbit App
2025-07-27T06:30:00Z,45.956,0.0,Fitbit App
2025-07-27T06:40:00Z,49.933,0.0,Fitbit App
2025-07-27T06:45:00Z,54.623,0.0,Fitbit App
2025-07-27T06:50:00Z,59.58,0.0,Fitbit App
2025-07-27T06:55:00Z,58.496,0.0,Fitbit App
2025-07-27T07:00:00Z,62.821,0.0,Fitbit App
2025-07-27T07:05:00Z,62.015,0.0,Fitbit App
2025-07-27T07:10:00Z,56.764,0.0,Fitbit App
2025-07-27T07:15:00Z,56.47,0.0,Fitbit App
2025-07-27T07:20:00Z,53.521,0.0,Fitbit App
2025-07-27T07:25:00Z,56.667,0.0,Fitbit App
2025-07-27T07:30:00Z,57.047,0.0,Fitbit App
2025-07-27T07:35:00Z,59.695,0.0,Fitbit App
2025-07-27T07:40:00Z,63.947,0.0,Fitbit App
2025-07-27T07:45:00Z,48.824,0.0,Fitbit App
2025-07-27T07:50:00Z,51.926,0.0,Fitbit App
2025-07-27T07:55:00Z,50.523,0.0,Fitbit App
2025-07-27T08:00:00Z,51.603,0.0,Fitbit App
2025-07-27T08:05:00Z,52.155,0.0,Fitbit App
2025-07-27T08:10:00Z,52.181,0.0,Fitbit App
2025-07-27T08:15:00Z,51.881,0.0,Fitbit App
2025-07-27T08:20:00Z,48.661,0.0,Fitbit App
2025-07-27T08:25:00Z,47.698,0.0,Fitbit App
2025-07-27T08:30:00Z,51.416,0.0,Fitbit App
2025-07-27T08:35:00Z,55.938,0.0,Fitbit App
2025-07-27T08:40:00Z,54.276,0.0,Fitbit App
2025-07-27T08:45:00Z,55.601,0.0,Fitbit App
2025-07-27T08:50:00Z,60.094,0.0,Fitbit App
2025-07-27T08:55:00Z,58.724,0.0,Fitbit App
2025-07-27T09:00:00Z,55.931,0.0,Fitbit App
2025-07-27T09:05:00Z,50.479,0.0,Fitbit App
2025-07-27T09:10:00Z,39.187,0.0,Fitbit App
2025-07-27T09:15:00Z,47.425,0.0,Fitbit App
2025-07-27T09:20:00Z,38.515,0.0,Fitbit App
2025-07-27T09:25:00Z,38.343,0.0,Fitbit App
2025-07-27T09:30:00Z,31.341,0.0,Fitbit App
2025-07-27T09:35:00Z,40.085,0.0,Fitbit App
2025-07-27T09:40:00Z,55.821,0.0,Fitbit App
2025-07-27T09:45:00Z,43.333,0.0,Fitbit App
2025-07-27T09:50:00Z,47.217,0.0,Fitbit App
2025-07-27T09:55:00Z,54.979,0.0,Fitbit App
2025-07-27T10:00:00Z,52.693,0.0,Fitbit App
2025-07-27T10:05:00Z,52.917,0.0,Fitbit App
2025-07-27T10:10:00Z,55.858,0.0,Fitbit App
2025-07-27T10:15:00Z,54.78,0.0,Fitbit App
2025-07-27T10:20:00Z,61.13,0.0,Fitbit App
2025-07-27T10:25:00Z,54.102,0.0,Fitbit App
2025-07-27T10:30:00Z,49.283,0.0,Fitbit App
2025-07-27T10:35:00Z,58.408,0.0,Fitbit App
2025-07-27T10:40:00Z,63.634,0.0,Fitbit App
2025-07-27T10:45:00Z,48.484,0.0,Fitbit App
2025-07-27T10:50:00Z,43.647,0.0,Fitbit App
2025-07-27T10:55:00Z,33.335,0.0,Fitbit App
2025-07-27T11:00:00Z,58.498,0.0,Fitbit App
2025-07-27T11:05:00Z,55.724,0.0,Fitbit App
2025-07-27T11:10:00Z,51.335,0.0,Fitbit App
2025-07-27T11:15:00Z,55.747,0.0,Fitbit App
2025-07-27T11:20:00Z,45.348,0.0,Fitbit App
2025-07-27T11:25:00Z,40.872,0.0,Fitbit App
2025-07-27T11:30:00Z,57.511,0.0,Fitbit App
2025-07-27T11:35:00Z,36.4,0.0,Fitbit App
2025-07-27T11:40:00Z,32.866,0.0,Fitbit App
2025-07-27T11:45:00Z,33.316,0.0,Fitbit App
2025-07-27T11:50:00Z,49.522,0.0,Fitbit App
2025-07-27T11:55:00Z,62.744,0.0,Fitbit App
2025-07-27T12:00:00Z,44.707,0.0,Fitbit App
2025-07-27T12:05:00Z,39.057,0.0,Fitbit App
2025-07-27T12:10:00Z,42.55,0.0,Fitbit App
2025-07-27T12:15:00Z,37.444,0.0,Fitbit App
2025-07-27T12:20:00Z,42.799,0.0,Fitbit App
2025-07-27T12:25:00Z,44.498,0.0,Fitbit App
