timestamp,min observed load,max observed load,data source
2025-03-26,0.0,50.0,Fitbit App
2025-03-27,0.0,50.0,Fitbit App
2025-03-28,0.0,50.0,Fitbit App
2025-03-29,0.0,50.0,Fitbit App
2025-03-30,0.0,50.0,Fitbit App
2025-03-31,0.0,50.0,Fitbit App
2025-04-01,0.0,50.0,Fitbit App
2025-04-02,0.0,50.0,Fitbit App
2025-04-03,8.083742702650552,39.058961067507724,Fitbit App
2025-07-17,8.083742702650552,39.058961067507724,Fitbit App
2025-07-18,8.083742702650552,39.058961067507724,Fitbit App
2025-07-19,8.083742702650552,39.058961067507724,Fitbit App
2025-07-20,8.083742702650552,39.058961067507724,Fitbit App
2025-07-21,8.083742702650552,39.058961067507724,Fitbit App
2025-07-22,8.083742702650552,39.058961067507724,Fitbit App
2025-07-26,8.083742702650552,39.058961067507724,Fitbit App
2025-07-27,8.083742702650552,39.058961067507724,Fitbit App
2025-07-28,7.145136822031776,73.67183637137443,Fitbit App
2025-07-29,6.568525970119946,73.67183637137443,Fitbit App
2025-07-30,6.568525970119946,108.45846136324143,Fitbit App
2025-07-31,6.568525970119946,108.45846136324143,Fitbit App
2025-08-01,6.568525970119946,125.85856776534358,Fitbit App
2025-08-03,4.387591050885774,125.85856776534358,Fitbit App
2025-08-04,2.234010289909148,125.85856776534358,Fitbit App
2025-08-05,2.234010289909148,125.85856776534358,Fitbit App
2025-08-06,2.234010289909148,125.85856776534358,Fitbit App
2025-08-07,1.294814352637908,125.85856776534358,Fitbit App
2025-08-08,1.294814352637908,125.85856776534358,Fitbit App
2025-08-09,1.294814352637908,125.85856776534358,Fitbit App
2025-08-10,1.294814352637908,125.85856776534358,Fitbit App
2025-08-11,1.294814352637908,125.85856776534358,Fitbit App
2025-08-12,1.294814352637908,125.85856776534358,Fitbit App
2025-08-14,1.294814352637908,125.85856776534358,Fitbit App
2025-08-15,1.294814352637908,141.42858141433433,Fitbit App
2025-08-16,1.294814352637908,141.42858141433433,Fitbit App
2025-08-17,2.038698472068819,141.42858141433433,Fitbit App
2025-08-18,2.038698472068819,141.42858141433433,Fitbit App
2025-08-19,2.038698472068819,135.42327126546323,Fitbit App
2025-08-20,2.038698472068819,135.42327126546323,Fitbit App
2025-08-21,2.038698472068819,135.42327126546323,Fitbit App
2025-11-16,2.038698472068819,135.42327126546323,Fitbit App
2025-12-09,2.038698472068819,135.42327126546323,Fitbit App
2025-12-10,2.038698472068819,135.42327126546323,Fitbit App
2025-12-23,2.038698472068819,135.42327126546323,Fitbit App
2025-12-24,2.038698472068819,135.42327126546323,Fitbit App
2025-12-25,2.038698472068819,135.42327126546323,Fitbit App
