start time,end time,data source
2025-03-26T06:32:00Z,2025-03-26T07:07:00Z,Fitbit App
2025-03-26T07:11:00Z,2025-03-26T07:29:00Z,Fitbit App
2025-03-26T07:59:00Z,2025-03-26T08:20:00Z,Fitbit App
2025-03-26T08:59:00Z,2025-03-26T09:09:00Z,Fitbit App
2025-03-26T09:54:00Z,2025-03-26T10:10:00Z,Fitbit App
2025-03-26T10:34:00Z,2025-03-26T10:54:00Z,Fitbit App
2025-03-26T10:56:00Z,2025-03-26T11:44:00Z,Fitbit App
2025-03-26T12:26:00Z,2025-03-26T14:26:00Z,Fitbit App
2025-03-26T15:10:00Z,2025-03-26T15:22:00Z,Fitbit App
2025-03-26T15:25:00Z,2025-03-26T18:30:00Z,Fitbit App
2025-03-26T18:30:00Z,2025-03-26T21:22:00Z,Fitbit App
2025-03-26T21:29:00Z,2025-03-26T23:00:00Z,Fitbit App
