timestamp,light,moderate,very,data source
2025-11-17T15:23:04Z,1,0,0,Fitbit App
2025-11-17T15:24:04Z,1,0,0,Fitbit App
2025-11-17T15:41:04Z,1,0,0,Fitbit App
2025-11-17T15:42:04Z,1,0,0,Fitbit App
2025-11-17T21:18:04Z,1,0,0,Fitbit App
2025-11-17T21:19:04Z,1,0,0,Fitbit App
2025-11-17T21:20:04Z,1,0,0,Fitbit App
2025-11-17T21:21:04Z,1,0,0,Fitbit App
2025-11-17T21:22:04Z,1,0,0,Fitbit App
2025-11-18T02:59:04Z,1,0,0,Fitbit App
2025-11-18T03:00:04Z,1,0,0,Fitbit App
2025-11-18T03:07:04Z,1,0,0,Fitbit App
2025-11-18T03:08:04Z,1,0,0,Fitbit App
2025-11-18T03:09:04Z,1,0,0,Fitbit App
2025-11-18T03:17:04Z,1,0,0,Fitbit App
2025-11-18T03:18:04Z,1,0,0,Fitbit App
2025-11-18T03:19:04Z,1,0,0,Fitbit App
2025-11-18T08:16:04Z,1,0,0,Fitbit App
2025-11-18T08:17:04Z,1,0,0,Fitbit App
2025-11-18T08:18:04Z,1,0,0,Fitbit App
2025-11-18T08:19:04Z,1,0,0,Fitbit App
2025-11-18T08:20:04Z,1,0,0,Fitbit App
2025-11-18T08:21:04Z,1,0,0,Fitbit App
2025-11-18T08:22:04Z,1,0,0,Fitbit App
2025-11-18T08:38:04Z,1,0,0,Fitbit App
2025-11-18T08:39:04Z,1,0,0,Fitbit App
2025-11-18T08:40:04Z,1,0,0,Fitbit App
2025-11-18T08:41:04Z,1,0,0,Fitbit App
2025-11-18T10:59:04Z,1,0,0,Fitbit App
2025-11-18T11:00:04Z,1,0,0,Fitbit App
2025-11-18T11:01:04Z,1,0,0,Fitbit App
2025-11-18T11:02:04Z,1,0,0,Fitbit App
2025-11-18T11:04:04Z,1,0,0,Fitbit App
2025-11-18T11:05:04Z,1,0,0,Fitbit App
2025-11-18T11:06:04Z,1,0,0,Fitbit App
2025-11-18T11:07:04Z,1,0,0,Fitbit App
2025-11-18T11:08:04Z,1,0,0,Fitbit App
2025-11-18T11:09:04Z,0,1,0,Fitbit App
2025-11-18T11:10:04Z,0,0,1,Fitbit App
2025-11-18T11:11:04Z,0,0,1,Fitbit App
2025-11-18T11:12:04Z,0,0,1,Fitbit App
2025-11-18T11:13:04Z,0,0,1,Fitbit App
2025-11-18T11:14:04Z,0,0,1,Fitbit App
2025-11-18T11:15:04Z,0,1,0,Fitbit App
2025-11-18T11:16:40Z,0,1,0,Fitbit App
2025-11-18T11:17:40Z,0,1,0,Fitbit App
2025-11-18T11:18:40Z,0,1,0,Fitbit App
2025-11-18T11:19:40Z,0,0,1,Fitbit App
2025-11-18T11:20:40Z,0,0,1,Fitbit App
2025-11-18T11:21:40Z,0,0,1,Fitbit App
2025-11-18T11:22:40Z,0,0,1,Fitbit App
2025-11-18T11:23:40Z,0,1,0,Fitbit App
2025-11-18T11:24:40Z,1,0,0,Fitbit App
2025-11-18T11:25:40Z,0,0,1,Fitbit App
2025-11-18T11:26:40Z,1,0,0,Fitbit App
2025-11-18T11:27:40Z,1,0,0,Fitbit App
2025-11-18T11:33:40Z,1,0,0,Fitbit App
2025-11-18T11:34:40Z,1,0,0,Fitbit App
2025-11-18T11:35:40Z,1,0,0,Fitbit App
2025-11-18T11:36:40Z,1,0,0,Fitbit App
2025-11-18T11:37:40Z,1,0,0,Fitbit App
2025-11-18T11:38:40Z,1,0,0,Fitbit App
2025-11-18T11:39:40Z,1,0,0,Fitbit App
2025-11-18T11:40:40Z,1,0,0,Fitbit App
2025-11-18T11:41:40Z,1,0,0,Fitbit App
2025-11-18T14:41:40Z,1,0,0,Fitbit App
2025-11-18T14:42:40Z,1,0,0,Fitbit App
2025-11-18T14:51:40Z,1,0,0,Fitbit App
2025-11-18T14:52:40Z,1,0,0,Fitbit App
2025-11-18T14:53:40Z,1,0,0,Fitbit App
2025-11-18T14:54:40Z,1,0,0,Fitbit App
2025-11-18T14:55:40Z,1,0,0,Fitbit App
2025-11-18T15:05:40Z,1,0,0,Fitbit App
2025-11-18T15:06:40Z,1,0,0,Fitbit App
2025-11-18T15:07:40Z,1,0,0,Fitbit App
2025-11-18T15:08:40Z,1,0,0,Fitbit App
2025-11-18T15:09:40Z,1,0,0,Fitbit App
2025-11-18T15:10:40Z,1,0,0,Fitbit App
