timestamp,level,data source
2025-04-01T00:33:00Z,SEDENTARY,Fitbit App
2025-04-01T04:19:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-04-01T04:20:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-04-01T04:21:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-04-01T04:22:00Z,MODERATELY_ACTIVE,Fitbit App
2025-04-01T04:23:00Z,MODERATELY_ACTIVE,Fitbit App
2025-04-01T04:24:00Z,MODERATELY_ACTIVE,Fitbit App
2025-04-01T04:25:00Z,MODERATELY_ACTIVE,Fitbit App
2025-04-01T04:26:00Z,MODERATELY_ACTIVE,Fitbit App
2025-04-01T04:27:00Z,MODERATELY_ACTIVE,Fitbit App
2025-04-01T04:28:00Z,VERY_ACTIVE,Fitbit App
2025-04-01T04:29:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-04-01T04:30:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-04-01T04:31:00Z,SEDENTARY,Fitbit App
2025-04-01T04:32:00Z,SEDENTARY,Fitbit App
2025-04-01T04:33:00Z,SEDENTARY,Fitbit App
2025-04-01T04:34:00Z,SEDENTARY,Fitbit App
2025-04-01T04:37:00Z,SEDENTARY,Fitbit App
2025-04-01T04:39:00Z,SEDENTARY,Fitbit App
2025-04-01T04:41:00Z,SEDENTARY,Fitbit App
2025-04-01T04:42:00Z,SEDENTARY,Fitbit App
2025-04-01T04:43:00Z,SEDENTARY,Fitbit App
2025-04-01T04:46:00Z,SEDENTARY,Fitbit App
2025-04-01T04:51:00Z,SEDENTARY,Fitbit App
2025-04-01T04:53:00Z,SEDENTARY,Fitbit App
2025-04-01T04:54:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-04-01T04:55:00Z,SEDENTARY,Fitbit App
2025-04-01T04:56:00Z,SEDENTARY,Fitbit App
2025-04-01T04:57:00Z,SEDENTARY,Fitbit App
2025-04-01T04:58:00Z,SEDENTARY,Fitbit App
2025-04-01T05:01:00Z,SEDENTARY,Fitbit App
2025-04-01T05:02:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-04-01T05:04:00Z,SEDENTARY,Fitbit App
2025-04-01T05:07:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-04-01T05:08:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-04-01T05:09:00Z,MODERATELY_ACTIVE,Fitbit App
2025-04-01T05:10:00Z,MODERATELY_ACTIVE,Fitbit App
2025-04-01T05:11:00Z,MODERATELY_ACTIVE,Fitbit App
2025-04-01T05:12:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-04-01T05:13:00Z,SEDENTARY,Fitbit App
2025-04-01T05:14:00Z,SEDENTARY,Fitbit App
2025-04-01T05:15:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-04-01T05:16:00Z,SEDENTARY,Fitbit App
2025-04-01T05:17:00Z,SEDENTARY,Fitbit App
2025-04-01T05:18:00Z,SEDENTARY,Fitbit App
2025-04-01T05:19:00Z,SEDENTARY,Fitbit App
2025-04-01T05:20:00Z,SEDENTARY,Fitbit App
2025-04-01T05:21:00Z,SEDENTARY,Fitbit App
2025-04-01T05:22:00Z,SEDENTARY,Fitbit App
2025-04-01T05:23:00Z,SEDENTARY,Fitbit App
2025-04-01T05:24:00Z,SEDENTARY,Fitbit App
2025-04-01T05:25:00Z,LIGHTLY_ACTIVE,Fitbit App
