timestamp,distance,data source
2025-04-01T04:19:00Z,4.40,Sense
2025-04-01T04:20:00Z,5.20,Sense
2025-04-01T04:21:00Z,33.60,Sense
2025-04-01T04:22:00Z,13.40,Sense
2025-04-01T04:23:00Z,18.60,Sense
2025-04-01T04:25:00Z,74.70,Sense
2025-04-01T04:26:00Z,42.50,Sense
2025-04-01T04:27:00Z,17.90,Sense
2025-04-01T04:28:00Z,72.40,Sense
2025-04-01T04:29:00Z,34.30,Sense
2025-04-01T04:30:00Z,15.60,Sense
2025-04-01T04:54:00Z,6.70,Sense
2025-04-01T05:02:00Z,5.90,Sense
2025-04-01T05:07:00Z,26.10,Sense
2025-04-01T05:08:00Z,27.60,Sense
2025-04-01T05:09:00Z,70.20,Sense
2025-04-01T05:10:00Z,70.90,Sense
2025-04-01T05:11:00Z,75.40,Sense
2025-04-01T05:12:00Z,22.40,Sense
2025-04-01T05:15:00Z,11.20,Sense
2025-04-01T05:25:00Z,14.90,Sense
2025-04-01T05:26:00Z,26.80,Sense
2025-04-01T05:27:00Z,1.40,Sense
2025-04-01T05:28:00Z,17.10,Sense
2025-04-01T06:08:00Z,5.90,Sense
2025-04-01T06:31:00Z,5.90,Sense
2025-04-01T07:08:00Z,2.90,Sense
2025-04-01T07:22:00Z,8.90,Sense
2025-04-01T07:44:00Z,9.70,Sense
2025-04-01T07:45:00Z,4.40,Sense
2025-04-01T07:52:00Z,14.90,Sense
2025-04-01T07:53:00Z,1.40,Sense
2025-04-01T08:38:00Z,8.20,Sense
2025-04-01T09:54:00Z,5.20,Sense
2025-04-01T11:06:00Z,17.10,Sense
2025-04-01T11:07:00Z,46.30,Sense
2025-04-01T11:08:00Z,70.20,Sense
2025-04-01T11:09:00Z,23.90,Sense
2025-04-01T11:10:00Z,11.90,Sense
2025-04-01T11:11:00Z,8.90,Sense
2025-04-01T11:12:00Z,24.60,Sense
2025-04-01T11:13:00Z,24.60,Sense
2025-04-01T11:14:00Z,7.40,Sense
2025-04-01T11:15:00Z,38.00,Sense
2025-04-01T11:16:00Z,64.90,Sense
2025-04-01T11:17:00Z,41.00,Sense
2025-04-01T11:18:00Z,45.50,Sense
2025-04-01T11:19:00Z,45.50,Sense
2025-04-01T11:20:00Z,17.90,Sense
2025-04-01T11:21:00Z,14.10,Sense
2025-04-01T11:23:00Z,51.50,Sense
2025-04-01T11:24:00Z,62.70,Sense
2025-04-01T14:45:00Z,7.40,Sense
2025-04-01T14:56:00Z,5.20,Sense
2025-04-01T15:08:00Z,9.70,Sense
2025-04-01T15:09:00Z,9.70,Sense
2025-04-01T15:10:00Z,61.20,Sense
2025-04-01T15:11:00Z,28.30,Sense
2025-04-01T15:12:00Z,8.20,Sense
2025-04-01T15:23:00Z,32.10,Sense
2025-04-01T15:24:00Z,41.80,Sense
2025-04-01T15:25:00Z,70.90,Sense
2025-04-01T15:26:00Z,46.30,Sense
2025-04-01T15:27:00Z,70.90,Sense
2025-04-01T15:28:00Z,55.20,Sense
2025-04-01T15:29:00Z,37.30,Sense
2025-04-01T18:23:00Z,8.20,Sense
2025-04-01T18:24:00Z,5.90,Sense
2025-04-01T18:39:00Z,10.40,Sense
2025-04-02T02:03:00Z,37.30,Sense
2025-04-02T02:04:00Z,53.00,Sense
2025-04-02T02:05:00Z,16.40,Sense
2025-04-02T02:09:00Z,8.90,Sense
2025-04-02T02:10:00Z,62.70,Sense
2025-04-02T02:11:00Z,71.70,Sense
2025-04-02T02:12:00Z,55.20,Sense
2025-04-02T02:13:00Z,26.80,Sense
2025-04-02T02:14:00Z,8.90,Sense
2025-04-02T02:15:00Z,47.80,Sense
2025-04-02T02:16:00Z,38.80,Sense
2025-04-02T02:17:00Z,14.10,Sense
2025-04-02T02:18:00Z,3.70,Sense
2025-04-02T02:21:00Z,16.40,Sense
2025-04-02T02:22:00Z,85.10,Sense
2025-04-02T02:23:00Z,22.40,Sense
2025-04-02T02:28:00Z,7.40,Sense
2025-04-02T02:29:00Z,5.20,Sense
2025-04-02T03:54:00Z,16.40,Sense
2025-04-02T03:55:00Z,36.60,Sense
2025-04-02T03:56:00Z,68.70,Sense
2025-04-02T03:57:00Z,76.10,Sense
2025-04-02T03:58:00Z,43.30,Sense
2025-04-02T03:59:00Z,47.80,Sense
2025-04-02T04:00:00Z,23.90,Sense
2025-04-02T04:01:00Z,34.30,Sense
2025-04-02T04:02:00Z,1.40,Sense
2025-04-02T04:03:00Z,61.20,Sense
2025-04-02T04:04:00Z,67.20,Sense
2025-04-02T04:05:00Z,60.50,Sense
2025-04-02T04:06:00Z,59.00,Sense
2025-04-02T04:07:00Z,51.50,Sense
2025-04-02T04:08:00Z,36.60,Sense
2025-04-02T04:09:00Z,0.70,Sense
2025-04-02T04:10:00Z,21.60,Sense
2025-04-02T04:11:00Z,20.10,Sense
2025-04-02T04:12:00Z,62.00,Sense
2025-04-02T04:13:00Z,53.70,Sense
2025-04-02T06:36:00Z,15.60,Sense
2025-04-02T06:37:00Z,79.90,Sense
2025-04-02T06:38:00Z,65.70,Sense
2025-04-02T06:39:00Z,62.70,Sense
