timestamp,distance,data source
2025-09-02T15:06:04Z,0.67,Fitbit App
2025-09-02T15:07:04Z,27.51,Fitbit App
2025-09-02T15:08:04Z,44.96,Fitbit App
2025-09-02T15:09:04Z,30.87,Fitbit App
2025-09-02T19:17:48Z,13.42,Fitbit App
2025-09-02T19:18:48Z,73.61,Fitbit App
2025-09-02T19:19:48Z,79.67,Fitbit App
2025-09-02T19:20:48Z,4.03,Fitbit App
2025-09-02T19:21:48Z,65.82,Fitbit App
2025-09-02T19:22:48Z,90.93,Fitbit App
2025-09-02T19:23:48Z,27.51,Fitbit App
2025-09-02T19:24:48Z,22.81,Fitbit App
2025-09-03T01:09:48Z,10.07,Fitbit App
2025-09-03T02:39:48Z,24.16,Fitbit App
2025-09-03T02:40:48Z,66.68,Fitbit App
2025-09-03T02:41:48Z,19.46,Fitbit App
2025-09-03T02:46:48Z,0.67,Fitbit App
2025-09-03T02:47:48Z,18.79,Fitbit App
2025-09-03T02:48:48Z,38.92,Fitbit App
2025-09-03T02:49:48Z,27.51,Fitbit App
2025-09-03T06:40:48Z,0.67,Fitbit App
2025-09-03T06:41:48Z,28.85,Fitbit App
2025-09-03T06:42:48Z,76.21,Fitbit App
2025-09-03T06:43:48Z,26.17,Fitbit App
2025-09-03T06:44:48Z,10.07,Fitbit App
2025-09-03T06:53:48Z,0.67,Fitbit App
2025-09-03T06:54:48Z,33.55,Fitbit App
2025-09-03T06:55:48Z,62.35,Fitbit App
2025-09-03T06:56:48Z,66.68,Fitbit App
2025-09-03T11:13:48Z,0.67,Fitbit App
2025-09-03T11:14:48Z,33.55,Fitbit App
2025-09-03T11:15:48Z,83.14,Fitbit App
2025-09-03T11:16:48Z,33.55,Fitbit App
2025-09-03T11:17:48Z,6.04,Fitbit App
2025-09-03T11:18:48Z,17.45,Fitbit App
2025-09-03T11:20:48Z,6.04,Fitbit App
2025-09-03T11:21:48Z,6.71,Fitbit App
2025-09-03T11:22:48Z,15.43,Fitbit App
2025-09-03T11:23:48Z,34.22,Fitbit App
2025-09-03T11:24:48Z,34.22,Fitbit App
2025-09-03T11:25:48Z,68.41,Fitbit App
2025-09-03T11:26:48Z,84.87,Fitbit App
2025-09-03T11:27:48Z,28.85,Fitbit App
2025-09-03T11:28:48Z,6.71,Fitbit App
2025-09-03T11:29:48Z,80.54,Fitbit App
2025-09-03T11:30:48Z,45.63,Fitbit App
2025-09-03T11:31:48Z,10.07,Fitbit App
2025-09-03T11:32:48Z,29.52,Fitbit App
2025-09-03T11:33:48Z,28.85,Fitbit App
2025-09-03T11:34:48Z,30.87,Fitbit App
2025-09-03T11:35:48Z,40.26,Fitbit App
2025-09-03T11:36:48Z,42.27,Fitbit App
2025-09-03T11:37:48Z,5.37,Fitbit App
2025-09-03T11:38:48Z,89.20,Fitbit App
2025-09-03T11:39:48Z,87.47,Fitbit App
2025-09-03T11:40:48Z,11.41,Fitbit App
2025-09-03T11:41:48Z,33.55,Fitbit App
2025-09-03T11:43:48Z,0.67,Fitbit App
2025-09-03T11:44:48Z,10.74,Fitbit App
2025-09-03T11:45:48Z,19.46,Fitbit App
2025-09-03T11:46:48Z,8.05,Fitbit App
2025-09-03T11:47:48Z,40.26,Fitbit App
2025-09-03T11:48:48Z,87.47,Fitbit App
2025-09-03T11:49:48Z,85.73,Fitbit App
2025-09-03T11:50:48Z,21.47,Fitbit App
2025-09-03T15:21:48Z,86.60,Fitbit App
2025-09-03T15:22:48Z,43.62,Fitbit App
2025-09-03T15:23:48Z,1.34,Fitbit App
2025-09-03T15:24:48Z,18.12,Fitbit App
2025-09-03T15:39:48Z,0.67,Fitbit App
2025-09-03T15:40:48Z,39.59,Fitbit App
2025-09-03T15:41:48Z,61.49,Fitbit App
2025-09-03T15:42:48Z,30.20,Fitbit App
2025-09-03T17:25:48Z,1.34,Fitbit App
2025-09-03T17:26:48Z,6.04,Fitbit App
2025-09-04T08:39:48Z,10.74,Fitbit App
2025-09-04T08:40:48Z,85.73,Fitbit App
2025-09-04T08:41:48Z,68.41,Fitbit App
2025-09-04T08:42:48Z,70.15,Fitbit App
2025-09-04T08:43:48Z,90.06,Fitbit App
2025-09-04T08:44:48Z,90.06,Fitbit App
2025-09-04T08:45:48Z,96.99,Fitbit App
2025-09-04T08:46:48Z,95.26,Fitbit App
2025-09-04T08:47:48Z,60.62,Fitbit App
2025-09-04T08:48:48Z,77.94,Fitbit App
2025-09-04T08:49:48Z,5.37,Fitbit App
2025-09-04T09:00:48Z,0.67,Fitbit App
2025-09-04T09:01:48Z,6.71,Fitbit App
2025-09-04T09:35:48Z,0.67,Fitbit App
2025-09-04T09:36:48Z,10.74,Fitbit App
