timestamp,heart rate zone type,data source
2025-11-16T13:01:00Z,LIGHT,Fitbit App
2025-11-16T13:02:00Z,LIGHT,Fitbit App
2025-11-16T13:03:00Z,LIGHT,Fitbit App
2025-11-16T13:04:00Z,LIGHT,Fitbit App
2025-11-16T13:05:00Z,LIGHT,Fitbit App
2025-11-16T13:06:00Z,LIGHT,Fitbit App
2025-11-16T13:07:00Z,LIGHT,Fitbit App
2025-11-16T13:08:00Z,LIGHT,Fitbit App
2025-11-16T13:09:00Z,LIGHT,Fitbit App
2025-11-16T13:10:00Z,LIGHT,Fitbit App
2025-11-16T13:11:00Z,LIGHT,Fitbit App
2025-11-16T13:12:00Z,LIGHT,Fitbit App
2025-11-16T13:13:00Z,LIGHT,Fitbit App
2025-11-16T13:14:00Z,LIGHT,Fitbit App
2025-11-16T13:15:00Z,LIGHT,Fitbit App
2025-11-16T13:16:00Z,LIGHT,Fitbit App
2025-11-16T13:17:00Z,LIGHT,Fitbit App
2025-11-16T13:18:00Z,LIGHT,Fitbit App
2025-11-16T13:19:00Z,LIGHT,Fitbit App
2025-11-16T13:20:00Z,LIGHT,Fitbit App
2025-11-16T13:21:00Z,LIGHT,Fitbit App
2025-11-16T13:22:00Z,LIGHT,Fitbit App
2025-11-16T13:23:00Z,LIGHT,Fitbit App
2025-11-16T13:24:00Z,LIGHT,Fitbit App
2025-11-16T13:25:00Z,LIGHT,Fitbit App
2025-11-16T13:26:00Z,LIGHT,Fitbit App
2025-11-16T13:27:00Z,LIGHT,Fitbit App
2025-11-16T13:28:00Z,LIGHT,Fitbit App
2025-11-16T13:29:00Z,LIGHT,Fitbit App
2025-11-16T13:30:00Z,LIGHT,Fitbit App
2025-11-16T13:31:00Z,LIGHT,Fitbit App
2025-11-16T13:32:00Z,LIGHT,Fitbit App
2025-11-16T13:33:00Z,LIGHT,Fitbit App
2025-11-16T13:34:00Z,LIGHT,Fitbit App
2025-11-16T13:35:00Z,LIGHT,Fitbit App
2025-11-16T13:36:00Z,LIGHT,Fitbit App
2025-11-16T13:37:00Z,LIGHT,Fitbit App
2025-11-16T13:38:00Z,LIGHT,Fitbit App
2025-11-16T13:39:00Z,LIGHT,Fitbit App
2025-11-16T13:40:00Z,LIGHT,Fitbit App
2025-11-16T13:41:00Z,LIGHT,Fitbit App
2025-11-16T13:42:00Z,LIGHT,Fitbit App
2025-11-16T13:43:00Z,LIGHT,Fitbit App
