timestamp,steps,distance millimeters,altitude gain millimeters,data source
2025-07-28T18:45:31Z,1,0,0,Sense 2
2025-07-28T18:45:32Z,2,0,0,Sense 2
2025-07-28T18:45:33Z,2,180,-304,Sense 2
2025-07-28T18:45:34Z,2,310,-304,Sense 2
2025-07-28T18:45:35Z,2,450,0,Sense 2
2025-07-28T18:45:36Z,1,590,0,Sense 2
2025-07-28T18:45:37Z,2,710,0,Sense 2
2025-07-28T18:45:38Z,2,800,304,Sense 2
2025-07-28T18:45:39Z,1,840,-609,Sense 2
2025-07-28T18:45:40Z,1,840,0,Sense 2
2025-07-28T18:45:41Z,2,880,304,Sense 2
2025-07-28T18:45:42Z,1,860,-304,Sense 2
2025-07-28T18:45:43Z,3,1110,304,Sense 2
2025-07-28T18:45:44Z,1,1130,0,Sense 2
2025-07-28T18:45:45Z,2,1180,-304,Sense 2
2025-07-28T18:45:46Z,2,1220,0,Sense 2
2025-07-28T18:45:47Z,2,1290,-304,Sense 2
2025-07-28T18:45:48Z,2,1290,0,Sense 2
2025-07-28T18:45:49Z,1,1310,609,Sense 2
2025-07-28T18:45:50Z,1,1310,-914,Sense 2
2025-07-28T18:45:51Z,2,1300,304,Sense 2
2025-07-28T18:45:52Z,2,1300,-304,Sense 2
2025-07-28T18:45:53Z,2,1300,609,Sense 2
2025-07-28T18:45:54Z,1,1290,0,Sense 2
2025-07-28T18:45:55Z,3,1350,0,Sense 2
2025-07-28T18:45:56Z,1,1340,-609,Sense 2
2025-07-28T18:45:57Z,1,1340,0,Sense 2
2025-07-28T18:45:58Z,3,1330,0,Sense 2
2025-07-28T18:45:59Z,0,1340,0,Sense 2
2025-07-28T18:46:00Z,1,1230,0,Sense 2
2025-07-28T18:46:01Z,0,1100,0,Sense 2
2025-07-28T18:46:02Z,0,970,304,Sense 2
2025-07-28T18:46:03Z,0,0,-304,Sense 2
2025-07-28T18:46:04Z,0,0,0,Sense 2
2025-07-28T18:46:05Z,0,0,304,Sense 2
2025-07-28T18:46:06Z,0,0,-304,Sense 2
2025-07-28T18:46:07Z,0,0,304,Sense 2
2025-07-28T18:46:08Z,0,0,0,Sense 2
2025-07-28T18:46:09Z,1,0,0,Sense 2
2025-07-28T18:46:10Z,0,0,0,Sense 2
2025-07-28T18:46:11Z,1,0,609,Sense 2
2025-07-28T18:46:12Z,2,0,0,Sense 2
2025-07-28T18:46:13Z,1,0,-609,Sense 2
2025-07-28T18:46:14Z,2,140,-304,Sense 2
2025-07-28T18:46:15Z,1,260,304,Sense 2
2025-07-28T18:46:16Z,0,370,-304,Sense 2
2025-07-28T18:46:17Z,0,450,304,Sense 2
2025-07-28T18:46:18Z,0,500,-304,Sense 2
