timestamp,floors,data source
2025-03-25T08:15:00Z,1,Fitbit App
2025-03-25T11:40:00Z,2,Fitbit App
2025-03-25T15:14:00Z,2,Fitbit App
2025-03-26T06:18:00Z,1,Fitbit App
2025-03-26T06:29:00Z,1,Fitbit App
2025-03-26T06:30:00Z,1,Fitbit App
2025-03-26T09:44:00Z,1,Fitbit App
2025-03-26T10:20:00Z,1,Fitbit App
2025-03-26T11:46:00Z,2,Fitbit App
2025-03-26T11:57:00Z,1,Fitbit App
2025-03-26T15:08:00Z,2,Fitbit App
2025-03-27T09:47:00Z,1,Fitbit App
2025-03-27T12:57:00Z,1,Fitbit App
2025-03-27T13:38:00Z,1,Fitbit App
2025-03-27T15:10:00Z,2,Fitbit App
2025-03-28T12:38:00Z,1,Fitbit App
2025-03-28T14:48:00Z,2,Fitbit App
2025-03-29T13:11:00Z,1,Fitbit App
2025-03-30T09:26:00Z,1,Fitbit App
