timestamp,steps,distance millimeters,altitude gain millimeters,data source
2025-07-27T12:29:39Z,2,0,0,Sense 2
2025-07-27T12:29:40Z,1,0,-609,Sense 2
2025-07-27T12:29:41Z,2,120,0,Sense 2
2025-07-27T12:29:42Z,2,230,0,Sense 2
2025-07-27T12:29:43Z,2,360,0,Sense 2
2025-07-27T12:29:44Z,1,500,304,Sense 2
2025-07-27T12:29:45Z,1,610,-304,Sense 2
2025-07-27T12:29:46Z,1,670,609,Sense 2
2025-07-27T12:29:47Z,2,710,-304,Sense 2
2025-07-27T12:29:48Z,1,710,609,Sense 2
2025-07-27T12:29:49Z,0,690,0,Sense 2
2025-07-27T12:29:50Z,1,670,-609,Sense 2
2025-07-27T12:29:51Z,2,690,609,Sense 2
2025-07-27T12:29:52Z,2,700,-609,Sense 2
2025-07-27T12:29:53Z,2,740,609,Sense 2
2025-07-27T12:29:54Z,2,840,0,Sense 2
2025-07-27T12:29:55Z,1,1090,-304,Sense 2
2025-07-27T12:29:56Z,2,1160,0,Sense 2
2025-07-27T12:29:57Z,1,1160,304,Sense 2
2025-07-27T12:29:58Z,1,1160,-304,Sense 2
2025-07-27T12:29:59Z,1,1150,-304,Sense 2
2025-07-27T12:30:00Z,3,1170,0,Sense 2
2025-07-27T12:30:01Z,2,1170,609,Sense 2
2025-07-27T12:30:02Z,2,1210,-304,Sense 2
2025-07-27T12:30:03Z,1,1240,0,Sense 2
2025-07-27T12:30:04Z,0,1230,609,Sense 2
2025-07-27T12:30:05Z,1,1110,-304,Sense 2
2025-07-27T12:30:06Z,2,0,0,Sense 2
2025-07-27T12:30:07Z,1,0,0,Sense 2
2025-07-27T12:30:08Z,0,0,-304,Sense 2
2025-07-27T12:30:09Z,4,0,304,Sense 2
2025-07-27T12:30:10Z,1,0,-304,Sense 2
2025-07-27T12:30:11Z,0,0,0,Sense 2
2025-07-27T12:30:12Z,4,0,304,Sense 2
2025-07-27T12:30:13Z,1,0,-304,Sense 2
2025-07-27T12:30:14Z,3,0,0,Sense 2
2025-07-27T12:30:15Z,2,1070,0,Sense 2
2025-07-27T12:30:16Z,0,230,0,Sense 2
2025-07-27T12:30:17Z,1,350,0,Sense 2
2025-07-27T12:30:18Z,0,420,304,Sense 2
2025-07-27T12:30:19Z,1,480,0,Sense 2
2025-07-27T12:30:20Z,0,0,-609,Sense 2
2025-07-27T12:30:21Z,0,0,304,Sense 2
2025-07-27T12:30:22Z,1,0,304,Sense 2
2025-07-27T12:30:23Z,1,0,-304,Sense 2
2025-07-27T12:30:24Z,0,0,0,Sense 2
