timestamp,distance,data source
2025-07-17T09:04:00Z,8.90,Sense
2025-07-17T09:19:00Z,10.40,Sense
2025-07-17T09:23:00Z,5.90,Sense
2025-07-17T09:26:00Z,32.10,Sense
2025-07-17T09:30:00Z,19.40,Sense
2025-07-17T11:04:45Z,0.67,Fitbit App
2025-07-17T11:05:45Z,64.08,Fitbit App
2025-07-17T11:06:45Z,75.34,Fitbit App
2025-07-17T11:07:45Z,23.49,Fitbit App
2025-07-17T11:08:45Z,41.60,Fitbit App
2025-07-17T11:09:45Z,71.88,Fitbit App
2025-07-17T11:10:45Z,68.41,Fitbit App
2025-07-17T11:11:45Z,74.48,Fitbit App
2025-07-17T11:12:45Z,40.93,Fitbit App
2025-07-17T11:13:45Z,59.75,Fitbit App
2025-07-17T11:14:45Z,61.49,Fitbit App
2025-07-17T11:15:45Z,45.63,Fitbit App
2025-07-17T11:16:45Z,65.82,Fitbit App
2025-07-17T11:17:45Z,69.28,Fitbit App
2025-07-17T11:18:45Z,74.48,Fitbit App
2025-07-17T11:19:45Z,76.21,Fitbit App
2025-07-17T11:20:45Z,32.21,Fitbit App
2025-07-17T11:21:45Z,30.20,Fitbit App
2025-07-17T11:22:45Z,87.47,Fitbit App
2025-07-17T11:23:45Z,81.40,Fitbit App
2025-07-17T11:24:45Z,40.93,Fitbit App
2025-07-17T11:25:45Z,22.14,Fitbit App
2025-07-17T11:26:45Z,3.36,Fitbit App
2025-07-17T11:31:45Z,1.34,Fitbit App
2025-07-17T11:32:45Z,40.93,Fitbit App
2025-07-17T11:33:45Z,89.20,Fitbit App
2025-07-17T11:34:45Z,37.58,Fitbit App
2025-07-17T13:17:00Z,6.70,Sense
2025-07-17T13:18:00Z,24.60,Sense
2025-07-17T13:19:00Z,67.90,Sense
2025-07-17T13:20:00Z,38.00,Sense
2025-07-17T13:21:00Z,36.60,Sense
2025-07-17T13:22:00Z,26.80,Sense
2025-07-17T13:23:00Z,26.10,Sense
2025-07-17T13:24:00Z,43.30,Sense
2025-07-17T13:25:00Z,53.00,Sense
2025-07-17T13:28:00Z,29.10,Sense
2025-07-17T13:29:00Z,63.40,Sense
2025-07-17T13:30:00Z,53.00,Sense
