timestamp,lap time,stroke count,stroke type,data source
2025-03-25T15:14:13Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-26T11:56:06Z,00:00:08.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-26T12:13:17Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-26T15:07:58Z,00:00:14.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-28T09:57:46Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-28T11:35:26Z,00:00:20.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-28T11:36:39Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-28T11:36:52Z,00:00:22.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-28T11:39:08Z,00:00:22.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-28T11:40:21Z,00:00:39.000,16,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-28T11:41:09Z,00:00:20.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-28T11:45:30Z,00:00:22.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-28T11:49:16Z,00:00:29.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-28T11:53:06Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-28T11:54:48Z,00:00:31.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-28T11:59:10Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-28T11:59:58Z,00:00:36.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-28T12:02:32Z,00:00:16.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-28T12:08:44Z,00:00:10.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-28T12:16:43Z,00:00:19.000,22,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-28T12:50:02Z,00:00:17.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-28T12:52:26Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-28T17:09:17Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-28T17:53:56Z,00:00:13.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-29T11:38:59Z,00:00:14.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-29T11:40:27Z,00:00:30.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-29T11:42:56Z,00:00:22.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-29T11:44:21Z,00:00:27.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-29T11:44:53Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-29T11:47:14Z,00:00:24.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-29T11:48:58Z,00:00:42.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-29T11:53:16Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-29T12:02:40Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-29T12:10:31Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-29T12:10:49Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-29T12:27:49Z,00:00:30.000,17,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-29T12:30:40Z,00:00:23.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-29T12:42:40Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-29T12:55:54Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-29T12:56:52Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-29T13:00:43Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-29T17:43:45Z,00:00:15.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-29T19:33:19Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-30T07:45:50Z,00:00:14.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-30T07:57:17Z,00:00:14.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-03-30T08:38:07Z,00:00:09.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
