timestamp,steps,distance millimeters,altitude gain millimeters,data source
2025-07-31T13:32:45Z,0,0,0,Sense 2
2025-07-31T13:32:46Z,2,0,0,Sense 2
2025-07-31T13:32:47Z,2,180,0,Sense 2
2025-07-31T13:32:48Z,1,270,-304,Sense 2
2025-07-31T13:32:49Z,2,410,-304,Sense 2
2025-07-31T13:32:50Z,2,560,-304,Sense 2
2025-07-31T13:32:51Z,1,650,609,Sense 2
2025-07-31T13:32:52Z,2,720,-304,Sense 2
2025-07-31T13:32:53Z,2,820,0,Sense 2
2025-07-31T13:32:54Z,1,850,0,Sense 2
2025-07-31T13:32:55Z,0,820,-304,Sense 2
2025-07-31T13:32:56Z,1,770,304,Sense 2
2025-07-31T13:32:57Z,1,0,304,Sense 2
2025-07-31T13:32:58Z,1,0,0,Sense 2
2025-07-31T13:32:59Z,1,0,-304,Sense 2
2025-07-31T13:33:00Z,2,0,0,Sense 2
2025-07-31T13:33:01Z,1,0,0,Sense 2
2025-07-31T13:33:02Z,1,980,0,Sense 2
2025-07-31T13:33:03Z,1,280,304,Sense 2
2025-07-31T13:33:04Z,0,370,-609,Sense 2
2025-07-31T13:33:05Z,0,430,304,Sense 2
2025-07-31T13:33:06Z,0,480,-304,Sense 2
2025-07-31T13:33:07Z,0,0,0,Sense 2
2025-07-31T13:33:08Z,0,0,304,Sense 2
2025-07-31T13:33:09Z,0,0,304,Sense 2
2025-07-31T13:33:10Z,0,0,-304,Sense 2
2025-07-31T13:33:11Z,0,0,-304,Sense 2
2025-07-31T13:33:12Z,0,0,304,Sense 2
2025-07-31T13:33:13Z,2,0,0,Sense 2
2025-07-31T13:33:14Z,0,0,0,Sense 2
2025-07-31T13:33:15Z,2,0,609,Sense 2
2025-07-31T13:33:16Z,0,0,-609,Sense 2
2025-07-31T13:33:17Z,4,0,0,Sense 2
2025-07-31T13:33:18Z,1,0,304,Sense 2
2025-07-31T13:33:19Z,1,0,304,Sense 2
2025-07-31T13:33:20Z,1,0,-914,Sense 2
2025-07-31T13:33:21Z,2,0,304,Sense 2
2025-07-31T13:33:22Z,1,0,0,Sense 2
2025-07-31T13:33:23Z,2,130,-304,Sense 2
2025-07-31T13:33:24Z,1,270,609,Sense 2
2025-07-31T13:33:25Z,2,440,304,Sense 2
2025-07-31T13:33:26Z,1,590,-304,Sense 2
2025-07-31T13:33:27Z,3,820,0,Sense 2
2025-07-31T13:33:28Z,0,850,0,Sense 2
2025-07-31T13:33:29Z,2,910,-304,Sense 2
2025-07-31T13:33:30Z,0,880,0,Sense 2
2025-07-31T13:33:31Z,2,900,304,Sense 2
2025-07-31T13:33:32Z,1,840,-609,Sense 2
2025-07-31T13:33:33Z,1,840,609,Sense 2
2025-07-31T13:33:34Z,2,830,0,Sense 2
2025-07-31T13:33:35Z,2,900,0,Sense 2
2025-07-31T13:33:36Z,0,980,0,Sense 2
2025-07-31T13:33:37Z,0,970,-304,Sense 2
2025-07-31T13:33:38Z,1,960,609,Sense 2
2025-07-31T13:33:39Z,1,0,-609,Sense 2
2025-07-31T13:33:40Z,1,0,304,Sense 2
2025-07-31T13:33:41Z,1,0,304,Sense 2
2025-07-31T13:33:42Z,1,0,304,Sense 2
2025-07-31T13:33:43Z,2,190,-304,Sense 2
2025-07-31T13:33:44Z,2,350,0,Sense 2
2025-07-31T13:33:45Z,3,570,0,Sense 2
2025-07-31T13:33:46Z,0,740,0,Sense 2
2025-07-31T13:33:47Z,0,870,0,Sense 2
2025-07-31T13:33:48Z,0,820,0,Sense 2
2025-07-31T13:33:49Z,0,720,609,Sense 2
2025-07-31T13:33:50Z,0,0,-609,Sense 2
2025-07-31T13:33:51Z,0,0,-914,Sense 2
2025-07-31T13:33:52Z,0,0,914,Sense 2
2025-07-31T13:33:53Z,0,0,0,Sense 2
2025-07-31T13:33:54Z,0,0,304,Sense 2
2025-07-31T13:33:55Z,0,0,304,Sense 2
2025-07-31T13:33:56Z,0,0,-304,Sense 2
2025-07-31T13:33:57Z,0,0,-304,Sense 2
2025-07-31T13:33:58Z,0,0,-304,Sense 2
2025-07-31T13:33:59Z,0,0,304,Sense 2
2025-07-31T13:34:00Z,0,0,0,Sense 2
2025-07-31T13:34:01Z,0,0,0,Sense 2
2025-07-31T13:34:02Z,0,0,304,Sense 2
2025-07-31T13:34:03Z,0,0,0,Sense 2
2025-07-31T13:34:04Z,0,0,-304,Sense 2
2025-07-31T13:34:05Z,0,0,609,Sense 2
2025-07-31T13:34:06Z,0,0,-304,Sense 2
2025-07-31T13:34:07Z,0,0,0,Sense 2
2025-07-31T13:34:08Z,0,0,-609,Sense 2
2025-07-31T13:34:09Z,0,0,304,Sense 2
2025-07-31T13:34:10Z,0,0,-304,Sense 2
2025-07-31T13:34:11Z,0,0,304,Sense 2
2025-07-31T13:34:12Z,0,0,304,Sense 2
