timestamp,level,data source
2025-11-16T23:46:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-16T23:47:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-16T23:50:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-16T23:51:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-17T08:07:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-17T08:08:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-17T08:09:04Z,VERY_ACTIVE,Fitbit App
2025-11-17T08:10:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-17T08:11:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-17T08:16:04Z,SEDENTARY,Fitbit App
2025-11-17T08:17:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-17T08:18:04Z,MODERATELY_ACTIVE,Fitbit App
2025-11-17T08:19:04Z,VERY_ACTIVE,Fitbit App
2025-11-17T11:06:04Z,SEDENTARY,Fitbit App
2025-11-17T11:07:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-17T11:08:04Z,VERY_ACTIVE,Fitbit App
2025-11-17T11:09:04Z,MODERATELY_ACTIVE,Fitbit App
2025-11-17T11:10:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-17T11:11:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-17T11:12:04Z,VERY_ACTIVE,Fitbit App
2025-11-17T11:13:04Z,VERY_ACTIVE,Fitbit App
2025-11-17T11:14:04Z,VERY_ACTIVE,Fitbit App
2025-11-17T11:15:04Z,VERY_ACTIVE,Fitbit App
2025-11-17T11:16:04Z,VERY_ACTIVE,Fitbit App
2025-11-17T11:17:04Z,VERY_ACTIVE,Fitbit App
2025-11-17T11:18:04Z,MODERATELY_ACTIVE,Fitbit App
2025-11-17T11:19:04Z,MODERATELY_ACTIVE,Fitbit App
2025-11-17T11:20:04Z,MODERATELY_ACTIVE,Fitbit App
2025-11-17T11:21:04Z,MODERATELY_ACTIVE,Fitbit App
2025-11-17T11:22:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-17T11:23:04Z,VERY_ACTIVE,Fitbit App
2025-11-17T11:24:04Z,VERY_ACTIVE,Fitbit App
2025-11-17T11:25:04Z,VERY_ACTIVE,Fitbit App
2025-11-17T11:26:04Z,VERY_ACTIVE,Fitbit App
2025-11-17T11:27:04Z,VERY_ACTIVE,Fitbit App
2025-11-17T11:28:04Z,MODERATELY_ACTIVE,Fitbit App
2025-11-17T11:29:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-17T11:30:04Z,VERY_ACTIVE,Fitbit App
2025-11-17T11:31:04Z,VERY_ACTIVE,Fitbit App
2025-11-17T11:32:04Z,VERY_ACTIVE,Fitbit App
2025-11-17T11:33:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-17T11:34:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-17T11:35:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-17T11:36:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-17T11:37:04Z,VERY_ACTIVE,Fitbit App
2025-11-17T11:38:04Z,VERY_ACTIVE,Fitbit App
2025-11-17T11:39:04Z,MODERATELY_ACTIVE,Fitbit App
2025-11-17T15:22:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-17T15:23:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-17T15:24:04Z,MODERATELY_ACTIVE,Fitbit App
2025-11-17T15:41:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-17T15:42:04Z,VERY_ACTIVE,Fitbit App
2025-11-17T21:18:04Z,VERY_ACTIVE,Fitbit App
2025-11-17T21:19:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-17T21:20:04Z,MODERATELY_ACTIVE,Fitbit App
2025-11-17T21:21:04Z,VERY_ACTIVE,Fitbit App
2025-11-17T21:22:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T02:58:04Z,SEDENTARY,Fitbit App
2025-11-18T02:59:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T03:00:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T03:07:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T03:08:04Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T03:09:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T03:16:04Z,SEDENTARY,Fitbit App
