timestamp,beats per minute,data source
2025-03-27T04:26:54Z,73.0,Sense
2025-03-27T04:26:59Z,67.0,Sense
2025-03-27T04:27:09Z,66.0,Sense
2025-03-27T04:27:14Z,67.0,Sense
2025-03-27T04:27:19Z,65.0,Sense
2025-03-27T04:27:24Z,67.0,Sense
2025-03-27T04:27:29Z,68.0,Sense
2025-03-27T04:27:34Z,72.0,Sense
2025-03-27T04:27:39Z,74.0,Sense
2025-03-27T04:27:44Z,72.0,Sense
2025-03-27T04:27:49Z,68.0,Sense
2025-03-27T04:27:54Z,66.0,Sense
2025-03-27T04:41:33Z,67.0,Sense
2025-03-27T04:41:38Z,69.0,Sense
2025-03-27T04:41:43Z,72.0,Sense
2025-03-27T04:41:48Z,76.0,Sense
2025-03-27T04:41:53Z,78.0,Sense
2025-03-27T04:41:58Z,80.0,Sense
2025-03-27T04:42:08Z,78.0,Sense
2025-03-27T04:42:13Z,80.0,Sense
2025-03-27T04:42:18Z,81.0,Sense
2025-03-27T04:42:23Z,85.0,Sense
2025-03-27T04:42:28Z,84.0,Sense
2025-03-27T04:42:33Z,85.0,Sense
2025-03-27T04:42:38Z,89.0,Sense
2025-03-27T04:42:43Z,92.0,Sense
2025-03-27T04:42:48Z,90.0,Sense
2025-03-27T04:42:53Z,89.0,Sense
2025-03-27T04:42:58Z,87.0,Sense
2025-03-27T04:43:03Z,88.0,Sense
2025-03-27T04:43:13Z,89.0,Sense
2025-03-27T04:43:18Z,89.0,Sense
2025-03-27T04:43:23Z,87.0,Sense
2025-03-27T04:43:28Z,86.0,Sense
2025-03-27T04:43:33Z,81.0,Sense
2025-03-27T04:43:38Z,80.0,Sense
2025-03-27T04:43:43Z,79.0,Sense
2025-03-27T04:43:48Z,82.0,Sense
2025-03-27T04:43:53Z,81.0,Sense
2025-03-27T04:43:58Z,81.0,Sense
2025-03-27T04:44:03Z,79.0,Sense
2025-03-27T04:44:08Z,80.0,Sense
2025-03-27T04:44:13Z,78.0,Sense
2025-03-27T04:44:18Z,76.0,Sense
2025-03-27T04:44:23Z,77.0,Sense
2025-03-27T04:44:33Z,83.0,Sense
2025-03-27T04:44:38Z,85.0,Sense
2025-03-27T04:44:43Z,86.0,Sense
2025-03-27T04:44:48Z,90.0,Sense
2025-03-27T04:44:53Z,90.0,Sense
2025-03-27T04:44:58Z,88.0,Sense
2025-03-27T04:45:03Z,89.0,Sense
2025-03-27T04:45:18Z,89.0,Sense
2025-03-27T04:45:23Z,88.0,Sense
2025-03-27T04:45:28Z,86.0,Sense
2025-03-27T04:45:33Z,85.0,Sense
2025-03-27T04:45:38Z,87.0,Sense
2025-03-27T04:45:43Z,86.0,Sense
2025-03-27T04:45:48Z,85.0,Sense
2025-03-27T04:45:53Z,84.0,Sense
2025-03-27T04:45:58Z,83.0,Sense
2025-03-27T04:46:03Z,83.0,Sense
2025-03-27T04:46:08Z,84.0,Sense
2025-03-27T04:46:13Z,86.0,Sense
2025-03-27T04:46:18Z,88.0,Sense
2025-03-27T04:46:23Z,89.0,Sense
2025-03-27T04:46:28Z,89.0,Sense
2025-03-27T04:46:33Z,85.0,Sense
2025-03-27T04:46:48Z,85.0,Sense
2025-03-27T04:46:53Z,84.0,Sense
2025-03-27T04:46:58Z,83.0,Sense
2025-03-27T04:47:03Z,81.0,Sense
2025-03-27T04:47:08Z,82.0,Sense
