timestamp,beats per minute,data source
2025-08-14T11:50:22Z,68.0,Sense
2025-08-14T11:50:27Z,72.0,Sense
2025-08-14T11:50:32Z,80.0,Sense
2025-08-14T11:50:37Z,81.0,Sense
2025-08-14T11:50:47Z,83.0,Sense
2025-08-14T11:50:57Z,85.0,Sense
2025-08-14T11:51:02Z,84.0,Sense
2025-08-14T11:51:11Z,79.0,Sense
2025-08-14T11:51:29Z,80.0,Sense
2025-08-14T11:51:39Z,80.0,Sense
2025-08-14T11:51:44Z,79.0,Sense
2025-08-14T11:51:49Z,80.0,Sense
2025-08-14T11:52:04Z,77.0,Sense
2025-08-14T11:52:09Z,75.0,Sense
2025-08-14T11:52:14Z,77.0,Sense
2025-08-14T11:52:19Z,78.0,Sense
2025-08-14T11:52:34Z,77.0,Sense
2025-08-14T11:52:44Z,79.0,Sense
2025-08-14T11:52:49Z,80.0,Sense
2025-08-14T11:53:04Z,77.0,Sense
2025-08-14T11:53:09Z,74.0,Sense
2025-08-14T11:53:14Z,78.0,Sense
2025-08-14T11:53:19Z,79.0,Sense
2025-08-14T11:53:24Z,78.0,Sense
2025-08-14T11:53:29Z,79.0,Sense
2025-08-14T11:53:44Z,79.0,Sense
2025-08-14T11:53:49Z,78.0,Sense
2025-08-14T11:54:04Z,78.0,Sense
2025-08-14T11:54:09Z,81.0,Sense
2025-08-14T11:54:24Z,82.0,Sense
2025-08-14T11:54:39Z,82.0,Sense
2025-08-14T11:54:44Z,80.0,Sense
2025-08-14T11:54:49Z,79.0,Sense
2025-08-14T11:54:54Z,80.0,Sense
2025-08-14T11:54:59Z,79.0,Sense
2025-08-14T11:55:04Z,77.0,Sense
2025-08-14T11:55:09Z,80.0,Sense
2025-08-14T11:55:19Z,79.0,Sense
2025-08-14T11:55:24Z,75.0,Sense
2025-08-14T11:55:29Z,79.0,Sense
2025-08-14T11:55:34Z,80.0,Sense
2025-08-14T11:55:39Z,77.0,Sense
2025-08-14T11:55:44Z,70.0,Sense
2025-08-14T11:55:49Z,71.0,Sense
2025-08-14T11:55:54Z,70.0,Sense
2025-08-14T11:55:59Z,74.0,Sense
2025-08-14T11:56:04Z,80.0,Sense
2025-08-14T11:56:19Z,79.0,Sense
2025-08-14T11:56:29Z,78.0,Sense
2025-08-14T11:56:44Z,79.0,Sense
2025-08-14T11:56:49Z,80.0,Sense
2025-08-14T11:56:54Z,79.0,Sense
