timestamp,beats per minute,data source
2025-03-26T04:16:58Z,63.0,Sense
2025-03-26T04:17:08Z,62.0,Sense
2025-03-26T04:17:13Z,61.0,Sense
2025-03-26T04:17:23Z,60.0,Sense
2025-03-26T04:17:28Z,61.0,Sense
2025-03-26T04:17:33Z,60.0,Sense
2025-03-26T04:17:43Z,59.0,Sense
2025-03-26T04:17:48Z,58.0,Sense
2025-03-26T04:17:53Z,60.0,Sense
2025-03-26T06:15:45Z,64.0,Sense
2025-03-26T06:15:55Z,66.0,Sense
2025-03-26T06:16:00Z,67.0,Sense
2025-03-26T06:16:05Z,74.0,Sense
2025-03-26T06:16:10Z,75.0,Sense
2025-03-26T06:16:15Z,81.0,Sense
2025-03-26T06:16:20Z,85.0,Sense
2025-03-26T06:16:30Z,83.0,Sense
2025-03-26T06:16:35Z,84.0,Sense
2025-03-26T06:16:40Z,86.0,Sense
2025-03-26T06:16:45Z,95.0,Sense
2025-03-26T06:16:50Z,97.0,Sense
2025-03-26T06:16:55Z,89.0,Sense
2025-03-26T06:17:00Z,93.0,Sense
2025-03-26T06:17:05Z,93.0,Sense
2025-03-26T06:17:10Z,95.0,Sense
2025-03-26T06:17:15Z,95.0,Sense
2025-03-26T06:17:20Z,96.0,Sense
2025-03-26T06:17:25Z,96.0,Sense
2025-03-26T06:17:30Z,94.0,Sense
2025-03-26T06:17:35Z,91.0,Sense
2025-03-26T06:17:45Z,92.0,Sense
2025-03-26T06:17:50Z,91.0,Sense
2025-03-26T06:17:55Z,92.0,Sense
2025-03-26T06:18:00Z,96.0,Sense
2025-03-26T06:18:05Z,98.0,Sense
2025-03-26T06:18:10Z,100.0,Sense
2025-03-26T06:18:20Z,96.0,Sense
2025-03-26T06:18:37Z,97.0,Sense
2025-03-26T06:18:42Z,101.0,Sense
2025-03-26T06:18:52Z,106.0,Sense
2025-03-26T06:18:57Z,104.0,Sense
2025-03-26T06:19:02Z,101.0,Sense
2025-03-26T06:19:07Z,105.0,Sense
2025-03-26T06:19:12Z,104.0,Sense
2025-03-26T06:19:17Z,103.0,Sense
2025-03-26T06:19:22Z,104.0,Sense
2025-03-26T06:19:27Z,101.0,Sense
2025-03-26T06:19:37Z,102.0,Sense
2025-03-26T06:19:52Z,105.0,Sense
2025-03-26T06:19:57Z,103.0,Sense
2025-03-26T06:20:07Z,102.0,Sense
2025-03-26T06:20:12Z,103.0,Sense
2025-03-26T06:20:17Z,104.0,Sense
2025-03-26T06:20:22Z,103.0,Sense
2025-03-26T06:20:27Z,102.0,Sense
2025-03-26T06:20:42Z,103.0,Sense
2025-03-26T06:20:47Z,102.0,Sense
2025-03-26T06:20:52Z,103.0,Sense
2025-03-26T06:20:57Z,102.0,Sense
2025-03-26T06:21:07Z,100.0,Sense
2025-03-26T06:21:12Z,99.0,Sense
2025-03-26T06:21:17Z,102.0,Sense
2025-03-26T06:21:22Z,106.0,Sense
2025-03-26T06:21:46Z,107.0,Sense
2025-03-26T06:21:51Z,108.0,Sense
2025-03-26T06:21:56Z,107.0,Sense
2025-03-26T06:22:11Z,109.0,Sense
2025-03-26T06:22:16Z,110.0,Sense
2025-03-26T06:22:31Z,110.0,Sense
2025-03-26T06:22:41Z,109.0,Sense
2025-03-26T06:22:51Z,112.0,Sense
2025-03-26T06:23:01Z,108.0,Sense
2025-03-26T06:23:06Z,106.0,Sense
2025-03-26T06:23:11Z,104.0,Sense
2025-03-26T06:23:21Z,103.0,Sense
2025-03-26T06:23:26Z,107.0,Sense
2025-03-26T06:23:36Z,108.0,Sense
2025-03-26T06:23:41Z,112.0,Sense
2025-03-26T06:23:46Z,115.0,Sense
2025-03-26T06:23:51Z,113.0,Sense
2025-03-26T06:23:56Z,112.0,Sense
2025-03-26T06:24:06Z,115.0,Sense
2025-03-26T06:24:11Z,114.0,Sense
2025-03-26T06:24:16Z,115.0,Sense
2025-03-26T06:24:26Z,114.0,Sense
2025-03-26T06:24:31Z,113.0,Sense
2025-03-26T06:24:36Z,115.0,Sense
2025-03-26T06:24:41Z,116.0,Sense
2025-03-26T06:24:46Z,115.0,Sense
2025-03-26T06:24:51Z,116.0,Sense
2025-03-26T06:24:56Z,116.0,Sense
2025-03-26T06:25:11Z,115.0,Sense
2025-03-26T06:25:21Z,116.0,Sense
2025-03-26T06:25:26Z,117.0,Sense
2025-03-26T06:25:41Z,116.0,Sense
2025-03-26T06:25:56Z,116.0,Sense
2025-03-26T06:26:06Z,113.0,Sense
2025-03-26T06:26:11Z,112.0,Sense
2025-03-26T06:26:16Z,111.0,Sense
2025-03-26T06:26:21Z,110.0,Sense
2025-03-26T06:26:26Z,109.0,Sense
2025-03-26T06:26:31Z,110.0,Sense
2025-03-26T06:26:36Z,109.0,Sense
2025-03-26T06:26:41Z,108.0,Sense
2025-03-26T06:26:46Z,111.0,Sense
2025-03-26T06:26:51Z,110.0,Sense
2025-03-26T06:27:01Z,109.0,Sense
2025-03-26T06:27:11Z,108.0,Sense
2025-03-26T06:27:16Z,106.0,Sense
2025-03-26T06:27:21Z,109.0,Sense
2025-03-26T06:27:26Z,106.0,Sense
2025-03-26T06:27:31Z,108.0,Sense
2025-03-26T06:27:41Z,109.0,Sense
2025-03-26T06:27:56Z,109.0,Sense
2025-03-26T06:28:01Z,107.0,Sense
2025-03-26T06:28:16Z,107.0,Sense
2025-03-26T06:28:21Z,108.0,Sense
