timestamp,heart rate zone type,data source
2025-12-09T13:50:00Z,LIGHT,Fitbit App
2025-12-09T13:51:00Z,LIGHT,Fitbit App
2025-12-09T13:52:00Z,LIGHT,Fitbit App
2025-12-09T13:53:00Z,LIGHT,Fitbit App
2025-12-09T13:54:00Z,LIGHT,Fitbit App
2025-12-09T13:55:00Z,LIGHT,Fitbit App
2025-12-09T13:56:00Z,LIGHT,Fitbit App
2025-12-09T13:57:00Z,LIGHT,Fitbit App
2025-12-09T13:58:00Z,LIGHT,Fitbit App
2025-12-09T13:59:00Z,LIGHT,Fitbit App
2025-12-09T14:00:00Z,LIGHT,Fitbit App
2025-12-09T14:01:00Z,LIGHT,Fitbit App
2025-12-09T14:02:00Z,LIGHT,Fitbit App
2025-12-09T14:03:00Z,LIGHT,Fitbit App
2025-12-09T14:04:00Z,LIGHT,Fitbit App
2025-12-09T14:05:00Z,LIGHT,Fitbit App
2025-12-09T14:06:00Z,LIGHT,Fitbit App
2025-12-09T14:07:00Z,LIGHT,Fitbit App
2025-12-09T14:08:00Z,LIGHT,Fitbit App
2025-12-09T14:09:00Z,LIGHT,Fitbit App
2025-12-09T14:10:00Z,LIGHT,Fitbit App
2025-12-09T14:11:00Z,LIGHT,Fitbit App
2025-12-09T14:12:00Z,LIGHT,Fitbit App
2025-12-09T14:13:00Z,LIGHT,Fitbit App
2025-12-09T14:14:00Z,LIGHT,Fitbit App
2025-12-09T14:15:00Z,LIGHT,Fitbit App
2025-12-09T14:16:00Z,LIGHT,Fitbit App
2025-12-09T14:17:00Z,LIGHT,Fitbit App
2025-12-09T14:18:00Z,LIGHT,Fitbit App
2025-12-09T14:19:00Z,LIGHT,Fitbit App
2025-12-09T14:20:00Z,LIGHT,Fitbit App
2025-12-09T14:21:00Z,LIGHT,Fitbit App
2025-12-09T14:22:00Z,LIGHT,Fitbit App
2025-12-09T14:23:00Z,LIGHT,Fitbit App
2025-12-09T14:24:00Z,LIGHT,Fitbit App
2025-12-09T14:25:00Z,LIGHT,Fitbit App
2025-12-09T14:26:00Z,LIGHT,Fitbit App
2025-12-09T14:27:00Z,LIGHT,Fitbit App
2025-12-09T14:28:00Z,LIGHT,Fitbit App
2025-12-09T14:29:00Z,LIGHT,Fitbit App
2025-12-09T14:30:00Z,LIGHT,Fitbit App
2025-12-09T14:31:00Z,LIGHT,Fitbit App
2025-12-09T14:32:00Z,LIGHT,Fitbit App
2025-12-09T14:33:00Z,LIGHT,Fitbit App
2025-12-09T14:34:00Z,LIGHT,Fitbit App
2025-12-09T14:35:00Z,LIGHT,Fitbit App
2025-12-09T14:36:00Z,LIGHT,Fitbit App
2025-12-09T14:37:00Z,LIGHT,Fitbit App
2025-12-09T14:38:00Z,LIGHT,Fitbit App
2025-12-09T14:39:00Z,LIGHT,Fitbit App
2025-12-09T14:40:00Z,LIGHT,Fitbit App
2025-12-09T14:41:00Z,LIGHT,Fitbit App
2025-12-09T14:42:00Z,LIGHT,Fitbit App
2025-12-09T14:43:00Z,LIGHT,Fitbit App
2025-12-09T14:44:00Z,LIGHT,Fitbit App
2025-12-09T14:45:00Z,LIGHT,Fitbit App
2025-12-09T14:46:00Z,LIGHT,Fitbit App
2025-12-09T14:47:00Z,LIGHT,Fitbit App
2025-12-09T14:48:00Z,LIGHT,Fitbit App
2025-12-09T14:49:00Z,LIGHT,Fitbit App
2025-12-09T14:50:00Z,LIGHT,Fitbit App
2025-12-09T14:51:00Z,LIGHT,Fitbit App
2025-12-09T14:52:00Z,LIGHT,Fitbit App
2025-12-09T14:53:00Z,LIGHT,Fitbit App
2025-12-09T14:54:00Z,LIGHT,Fitbit App
2025-12-09T14:55:00Z,LIGHT,Fitbit App
2025-12-09T14:56:00Z,LIGHT,Fitbit App
2025-12-09T14:57:00Z,LIGHT,Fitbit App
2025-12-09T14:58:00Z,LIGHT,Fitbit App
2025-12-09T14:59:00Z,LIGHT,Fitbit App
2025-12-09T15:00:00Z,LIGHT,Fitbit App
2025-12-09T15:01:00Z,LIGHT,Fitbit App
2025-12-09T15:02:00Z,LIGHT,Fitbit App
2025-12-09T15:03:00Z,LIGHT,Fitbit App
2025-12-09T15:04:00Z,LIGHT,Fitbit App
2025-12-09T15:05:00Z,LIGHT,Fitbit App
2025-12-09T15:06:00Z,LIGHT,Fitbit App
2025-12-09T15:07:00Z,LIGHT,Fitbit App
2025-12-09T15:12:00Z,LIGHT,Fitbit App
2025-12-09T15:13:00Z,LIGHT,Fitbit App
2025-12-09T15:14:00Z,LIGHT,Fitbit App
2025-12-09T15:15:00Z,LIGHT,Fitbit App
2025-12-09T15:19:00Z,LIGHT,Fitbit App
2025-12-09T15:20:00Z,LIGHT,Fitbit App
2025-12-09T16:01:00Z,LIGHT,Fitbit App
2025-12-09T16:02:00Z,LIGHT,Fitbit App
2025-12-09T16:08:00Z,LIGHT,Fitbit App
2025-12-09T16:09:00Z,LIGHT,Fitbit App
2025-12-09T16:17:00Z,LIGHT,Fitbit App
2025-12-09T16:18:00Z,LIGHT,Fitbit App
2025-12-09T16:20:00Z,LIGHT,Fitbit App
2025-12-09T16:21:00Z,LIGHT,Fitbit App
2025-12-09T16:22:00Z,LIGHT,Fitbit App
2025-12-09T16:23:00Z,LIGHT,Fitbit App
2025-12-09T16:24:00Z,LIGHT,Fitbit App
2025-12-09T16:25:00Z,LIGHT,Fitbit App
2025-12-09T16:27:00Z,LIGHT,Fitbit App
2025-12-09T16:28:00Z,LIGHT,Fitbit App
2025-12-09T16:29:00Z,LIGHT,Fitbit App
2025-12-09T16:30:00Z,LIGHT,Fitbit App
2025-12-09T16:31:00Z,LIGHT,Fitbit App
2025-12-09T16:36:00Z,LIGHT,Fitbit App
2025-12-09T16:37:00Z,LIGHT,Fitbit App
2025-12-09T17:10:00Z,LIGHT,Fitbit App
2025-12-09T17:11:00Z,LIGHT,Fitbit App
2025-12-09T21:27:00Z,LIGHT,Fitbit App
2025-12-09T21:28:00Z,LIGHT,Fitbit App
2025-12-10T02:33:00Z,LIGHT,Fitbit App
2025-12-10T02:34:00Z,LIGHT,Fitbit App
2025-12-10T02:35:00Z,LIGHT,Fitbit App
2025-12-10T04:54:00Z,LIGHT,Fitbit App
2025-12-10T04:55:00Z,LIGHT,Fitbit App
2025-12-10T05:17:00Z,LIGHT,Fitbit App
2025-12-10T05:18:00Z,LIGHT,Fitbit App
2025-12-10T05:19:00Z,LIGHT,Fitbit App
2025-12-10T05:30:00Z,LIGHT,Fitbit App
2025-12-10T05:31:00Z,LIGHT,Fitbit App
2025-12-10T06:16:00Z,LIGHT,Fitbit App
2025-12-10T06:17:00Z,LIGHT,Fitbit App
2025-12-10T06:22:00Z,LIGHT,Fitbit App
2025-12-10T06:23:00Z,LIGHT,Fitbit App
2025-12-10T07:10:00Z,LIGHT,Fitbit App
2025-12-10T07:11:00Z,LIGHT,Fitbit App
2025-12-10T10:52:00Z,LIGHT,Fitbit App
2025-12-10T10:53:00Z,LIGHT,Fitbit App
2025-12-10T12:22:00Z,LIGHT,Fitbit App
2025-12-10T12:23:00Z,LIGHT,Fitbit App
2025-12-10T13:05:00Z,LIGHT,Fitbit App
2025-12-10T13:06:00Z,LIGHT,Fitbit App
2025-12-10T13:33:00Z,LIGHT,Fitbit App
2025-12-10T13:34:00Z,LIGHT,Fitbit App
2025-12-10T14:12:00Z,LIGHT,Fitbit App
2025-12-10T14:13:00Z,LIGHT,Fitbit App
2025-12-10T14:14:00Z,LIGHT,Fitbit App
2025-12-10T15:00:00Z,LIGHT,Fitbit App
2025-12-10T15:01:00Z,LIGHT,Fitbit App
2025-12-10T15:02:00Z,LIGHT,Fitbit App
2025-12-10T15:03:00Z,LIGHT,Fitbit App
2025-12-10T15:07:00Z,LIGHT,Fitbit App
2025-12-10T15:08:00Z,LIGHT,Fitbit App
2025-12-10T15:11:00Z,LIGHT,Fitbit App
2025-12-10T15:12:00Z,LIGHT,Fitbit App
2025-12-10T15:13:00Z,LIGHT,Fitbit App
2025-12-10T15:14:00Z,LIGHT,Fitbit App
2025-12-10T15:15:00Z,LIGHT,Fitbit App
2025-12-10T15:16:00Z,LIGHT,Fitbit App
2025-12-10T15:17:00Z,LIGHT,Fitbit App
2025-12-10T15:29:00Z,LIGHT,Fitbit App
2025-12-10T15:30:00Z,LIGHT,Fitbit App
2025-12-10T15:31:00Z,LIGHT,Fitbit App
2025-12-10T15:32:00Z,LIGHT,Fitbit App
2025-12-10T16:26:00Z,LIGHT,Fitbit App
2025-12-10T16:27:00Z,LIGHT,Fitbit App
2025-12-10T16:47:00Z,LIGHT,Fitbit App
2025-12-10T16:48:00Z,LIGHT,Fitbit App
2025-12-10T18:19:00Z,LIGHT,Fitbit App
2025-12-10T18:20:00Z,LIGHT,Fitbit App
2025-12-10T19:04:00Z,LIGHT,Fitbit App
2025-12-10T19:05:00Z,LIGHT,Fitbit App
2025-12-10T20:50:00Z,LIGHT,Fitbit App
2025-12-23T08:36:00Z,LIGHT,Fitbit App
2025-12-23T08:37:00Z,LIGHT,Fitbit App
2025-12-23T08:38:00Z,LIGHT,Fitbit App
2025-12-23T08:39:00Z,LIGHT,Fitbit App
2025-12-23T08:40:00Z,LIGHT,Fitbit App
2025-12-23T08:41:00Z,LIGHT,Fitbit App
2025-12-23T08:42:00Z,LIGHT,Fitbit App
2025-12-23T08:43:00Z,MODERATE,Fitbit App
2025-12-23T08:44:00Z,MODERATE,Fitbit App
2025-12-23T08:45:00Z,MODERATE,Fitbit App
2025-12-23T08:46:00Z,MODERATE,Fitbit App
2025-12-23T08:47:00Z,MODERATE,Fitbit App
2025-12-23T08:48:00Z,MODERATE,Fitbit App
2025-12-23T08:49:00Z,MODERATE,Fitbit App
2025-12-23T08:50:00Z,MODERATE,Fitbit App
2025-12-23T08:51:00Z,MODERATE,Fitbit App
2025-12-23T08:52:00Z,MODERATE,Fitbit App
2025-12-23T08:53:00Z,MODERATE,Fitbit App
2025-12-23T08:54:00Z,MODERATE,Fitbit App
2025-12-23T08:55:00Z,MODERATE,Fitbit App
2025-12-23T08:56:00Z,MODERATE,Fitbit App
2025-12-23T08:57:00Z,MODERATE,Fitbit App
2025-12-23T08:58:00Z,LIGHT,Fitbit App
2025-12-23T08:59:00Z,LIGHT,Fitbit App
2025-12-23T09:00:00Z,LIGHT,Fitbit App
2025-12-23T09:01:00Z,LIGHT,Fitbit App
2025-12-23T09:02:00Z,LIGHT,Fitbit App
2025-12-23T09:03:00Z,LIGHT,Fitbit App
