timestamp,distance
2025-10-17T08:06:00Z,7.90
2025-10-17T09:07:00Z,7.90
2025-10-17T09:26:00Z,2.90
2025-10-17T10:13:00Z,5.80
2025-10-17T10:16:00Z,5.80
2025-10-17T10:17:00Z,30.40
2025-10-17T10:19:00Z,9.40
2025-10-17T10:20:00Z,7.20
2025-10-18T15:47:00Z,13.70
2025-10-18T18:39:00Z,10.80
2025-10-18T18:40:00Z,81.30
2025-10-18T18:41:00Z,36.30
2025-10-18T18:45:00Z,62.40
2025-10-18T18:46:00Z,74.00
2025-10-21T06:29:00Z,8.70
2025-10-21T06:30:00Z,52.90
2025-10-21T06:31:00Z,78.40
2025-10-21T06:32:00Z,48.60
2025-10-21T06:33:00Z,61.06
2025-10-21T06:34:00Z,20.30
2025-10-21T06:35:00Z,4.30
2025-10-21T06:36:00Z,13.00
2025-10-21T06:38:00Z,4.30
2025-10-21T06:39:00Z,57.30
2025-10-21T06:40:00Z,45.70
2025-10-21T06:41:00Z,18.80
2025-10-21T06:44:00Z,2.90
2025-10-27T15:30:00Z,7.90
2025-10-27T15:33:00Z,26.80
2025-10-27T15:34:00Z,23.90
2025-10-27T15:35:00Z,47.10
2025-10-27T15:36:00Z,10.10
2025-10-27T15:37:00Z,19.60
2025-10-27T15:38:00Z,36.30
2025-10-27T15:41:00Z,6.50
2025-10-27T15:44:00Z,17.40
2025-10-27T15:45:00Z,39.90
2025-10-27T15:46:00Z,54.40
2025-10-27T15:47:00Z,31.90
2025-10-27T15:50:00Z,44.20
2025-10-27T15:51:00Z,14.50
2025-10-27T15:54:00Z,10.80
2025-10-27T15:55:00Z,23.90
2025-10-27T15:56:00Z,66.70
2025-10-27T15:57:00Z,67.50
2025-10-27T15:58:00Z,13.70
2025-10-27T15:59:00Z,16.60
2025-10-27T16:00:00Z,44.20
2025-10-27T16:07:00Z,31.20
2025-10-27T16:08:00Z,52.90
2025-10-27T16:09:00Z,68.20
2025-10-27T16:10:00Z,69.60
2025-10-27T16:11:00Z,68.20
2025-10-27T16:12:00Z,66.00
2025-10-27T16:13:00Z,63.10
2025-10-27T16:14:00Z,58.80
2025-10-27T16:15:00Z,62.40
2025-10-27T16:16:00Z,57.30
2025-10-27T16:17:00Z,63.80
2025-10-27T16:18:00Z,42.80
2025-10-27T16:19:00Z,25.40
2025-10-27T16:21:00Z,2.90
2025-10-27T16:22:00Z,11.60
2025-10-27T16:27:00Z,22.50
2025-10-27T16:29:00Z,8.70
2025-10-27T16:30:00Z,12.30
2025-10-27T16:36:00Z,17.40
2025-10-27T16:38:00Z,7.20
2025-10-27T16:39:00Z,13.00
2025-10-27T16:41:00Z,22.50
2025-10-27T16:43:00Z,18.80
2025-10-27T16:45:00Z,30.40
2025-10-27T16:46:00Z,24.60
2025-10-27T16:47:00Z,11.60
2025-10-27T16:48:00Z,29.70
2025-10-27T16:49:00Z,23.20
2025-10-27T16:50:00Z,21.70
2025-10-27T16:51:00Z,26.10
2025-10-27T16:52:00Z,18.10
2025-10-27T16:53:00Z,12.30
2025-10-27T16:55:00Z,8.70
2025-10-27T16:56:00Z,22.50
2025-10-27T16:57:00Z,13.70
2025-10-27T16:58:00Z,9.40
2025-10-27T17:00:00Z,17.40
2025-10-27T17:02:00Z,48.60
2025-10-27T17:03:00Z,30.40
2025-10-27T17:04:00Z,60.90
2025-10-27T17:05:00Z,59.50
2025-10-27T17:06:00Z,65.30
2025-10-27T17:07:00Z,47.90
2025-10-27T17:08:00Z,62.40
2025-10-27T17:09:00Z,66.70
2025-10-27T17:10:00Z,69.60
2025-10-27T17:11:00Z,62.40
2025-10-27T17:12:00Z,62.40
2025-10-27T17:13:00Z,55.10
2025-10-27T17:14:00Z,66.70
2025-10-27T17:15:00Z,66.70
2025-10-27T17:16:00Z,58.80
2025-10-27T17:17:00Z,26.80
2025-10-27T17:18:00Z,18.80
2025-10-27T17:19:00Z,13.00
2025-10-27T17:20:00Z,33.30
2025-10-28T06:26:00Z,37.00
2025-10-28T06:27:00Z,15.20
2025-10-28T07:54:00Z,31.20
2025-10-28T07:55:00Z,13.00
2025-10-28T08:35:00Z,4.30
2025-10-28T08:41:00Z,18.80
