source,valence_q1_agreement,valence_q1_kappa,valence_q2_triple,valence_q3_significant,valence_q4_accuracy,valence_q5_independent,arousal_q1_agreement,arousal_q1_kappa,arousal_q2_triple,arousal_q3_significant,arousal_q4_accuracy,arousal_q5_independent
VIDEO-expressed,68.61313868613139,-0.03495165189363414,50.36496350364964,True,18.6046511627907,True,32.846715328467155,0.0016381144843000683,18.97810218978102,True,64.13043478260869,True
AUDIO-predicted,49.27007299270073,-0.09656394717283168,42.33576642335766,True,35.25179856115108,True,66.05839416058394,-0.08171238228399869,45.98540145985402,False,46.236559139784944,True
